record_type,scheme,training_seed,accuracy,macro_f1,mae,auc,sensitivity,specificity,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,auc_std,sensitivity_std,specificity_std
fold_raw_reference,MUV,2026,0.7135678391959799,0.6908000545181954,0.2864321608040201,0.7823078560783479,0.8032786885245902,0.5714285714285714,3.0,797.0,199.0,2.32,,,,,,,
fold_raw_reference,MUV,2026,0.7587939698492462,0.7418378378378379,0.24120603015075376,0.7979246897732135,0.8211382113821138,0.6578947368421053,4.0,797.0,199.0,2.33,,,,,,,
fold_raw_reference,MUV,2026,0.7939698492462312,0.7788709109141665,0.20603015075376885,0.8461703038083013,0.8536585365853658,0.6973684210526315,5.0,797.0,199.0,2.36,,,,,,,
fold_raw,M+MR,42,0.76,0.7425997425997426,0.24,0.8203463203463204,0.8292682926829268,0.6493506493506493,1.0,796.0,200.0,3.05,0.615,,,,,,
fold_raw,M+MR,42,0.7286432160804021,0.7043904049295775,0.271356783919598,0.7850223546944859,0.8278688524590164,0.5714285714285714,2.0,797.0,199.0,3.01,0.6130653266331658,,,,,,
fold_raw,M+MR,42,0.7437185929648241,0.7340199701234373,0.2562814070351759,0.8181818181818182,0.7622950819672131,0.7142857142857143,3.0,797.0,199.0,3.01,0.6130653266331658,,,,,,
fold_raw,M+MR,42,0.7889447236180904,0.7786077558804831,0.21105527638190955,0.8421052631578948,0.8130081300813008,0.75,4.0,797.0,199.0,2.99,0.6180904522613065,,,,,,
fold_raw,M+MR,42,0.8140703517587939,0.8025846582835081,0.18592964824120603,0.8515725288831836,0.8536585365853658,0.75,5.0,797.0,199.0,3.08,0.6180904522613065,,,,,,
fold_raw,M+MR,3407,0.8,0.7854997854997855,0.2,0.8088902966951748,0.8617886178861789,0.7012987012987013,1.0,796.0,200.0,3.07,0.615,,,,,,
fold_raw,M+MR,3407,0.7587939698492462,0.7445442875481387,0.24120603015075376,0.8274430487545241,0.8114754098360656,0.6753246753246753,2.0,797.0,199.0,3.02,0.6130653266331658,,,,,,
fold_raw,M+MR,3407,0.7487437185929648,0.7459141981613892,0.25125628140703515,0.8237172663402171,0.6967213114754098,0.8311688311688312,3.0,797.0,199.0,3.0,0.6130653266331658,,,,,,
fold_raw,M+MR,3407,0.7788944723618091,0.7375299760191847,0.22110552763819097,0.8388425331621737,0.9512195121951219,0.5,4.0,797.0,199.0,3.01,0.6180904522613065,,,,,,
fold_raw,M+MR,3407,0.7939698492462312,0.7843645109284563,0.20603015075376885,0.8580445014976466,0.8130081300813008,0.7631578947368421,5.0,797.0,199.0,3.15,0.6180904522613065,,,,,,
fold_raw,M+MR,2026,0.77,0.7504340277777778,0.23,0.8331749551261747,0.8536585365853658,0.6363636363636364,1.0,796.0,200.0,3.0,0.615,,,,,,
fold_raw,M+MR,2026,0.7336683417085427,0.7029432474299395,0.2663316582914573,0.8013625718543751,0.860655737704918,0.5324675324675324,2.0,797.0,199.0,3.03,0.6130653266331658,,,,,,
fold_raw,M+MR,2026,0.7336683417085427,0.7157219481954664,0.2663316582914573,0.8061528635299128,0.8032786885245902,0.6233766233766234,3.0,797.0,199.0,3.0,0.6130653266331658,,,,,,
fold_raw,M+MR,2026,0.7738693467336684,0.7375824175824176,0.22613065326633167,0.7787227214377408,0.926829268292683,0.5263157894736842,4.0,797.0,199.0,3.01,0.6180904522613065,,,,,,
fold_raw,M+MR,2026,0.7889447236180904,0.7786077558804831,0.21105527638190955,0.8720047068891741,0.8130081300813008,0.75,5.0,797.0,199.0,3.1,0.6180904522613065,,,,,,
seed_summary,M+MR,42,0.7670753768844222,0.7524405063633497,0.23292462311557788,0.8234456570527406,0.8172197787551646,0.687012987012987,,,,,,0.034494301294524396,0.03854909192736157,0.034494301294524424,0.025753474866308496,0.03398828045306967,0.07657796365000784
seed_summary,M+MR,3407,0.7760804020100502,0.7595705516313908,0.2239195979899497,0.8313875292899471,0.8268425962948154,0.69419002050581,,,,,,0.022057954797859162,0.023372725356390716,0.022057954797859134,0.018348627910913344,0.09226312003186822,0.12413295382579598
seed_summary,M+MR,2026,0.7600301507537688,0.7370578793732169,0.23996984924623116,0.8182835637674755,0.8514860722377715,0.6137047163362952,,,,,,0.02508417686292866,0.02968425001616939,0.025084176862928634,0.035729010818643256,0.04891294162835737,0.0914052533674869
