record_type,scheme,training_seed,accuracy,macro_f1,mae,adjacent_error_rate,far_error_rate,fold,train_n,eval_n,train_minutes,majority_acc,accuracy_std,macro_f1_std,mae_std,adjacent_error_rate_std,far_error_rate_std
final,M+MB+MR,all,0.47791289782244556,0.41691288721091313,0.6686599664991624,0.4026247906197655,0.11946231155778897,,,,,,0.011822866212726763,0.028303498973716947,0.017494969160993818,0.006563578440048674,0.005319045035995387
fold_raw,M+MB+MP+MR+MUV,42,0.45,0.3594691407701096,0.74,0.385,0.165,1.0,796.0,200.0,6.73,0.325,,,,,
fold_raw,M+MB+MP+MR+MUV,42,0.4723618090452261,0.40109136578219734,0.6532663316582915,0.4221105527638191,0.10552763819095477,2.0,797.0,199.0,6.73,0.32663316582914576,,,,,
fold_raw,M+MB+MP+MR+MUV,42,0.48743718592964824,0.43773877786636195,0.6180904522613065,0.4271356783919598,0.08542713567839195,3.0,797.0,199.0,6.66,0.32663316582914576,,,,,
fold_raw,M+MB+MP+MR+MUV,42,0.5025125628140703,0.4752571576965755,0.6080402010050251,0.4020100502512563,0.09547738693467336,4.0,797.0,199.0,6.64,0.3316582914572864,,,,,
fold_raw,M+MB+MP+MR+MUV,42,0.507537688442211,0.42353248422781087,0.6482412060301508,0.36180904522613067,0.1306532663316583,5.0,797.0,199.0,6.64,0.32663316582914576,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.525,0.43986571352300247,0.59,0.395,0.08,1.0,796.0,200.0,6.59,0.325,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.49246231155778897,0.4471576145424496,0.6582914572864321,0.39195979899497485,0.11557788944723618,2.0,797.0,199.0,6.63,0.32663316582914576,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.5276381909547738,0.4534907670634195,0.6180904522613065,0.35175879396984927,0.12060301507537688,3.0,797.0,199.0,6.67,0.32663316582914576,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.4472361809045226,0.3611194530045113,0.7135678391959799,0.4321608040201005,0.12060301507537688,4.0,797.0,199.0,6.67,0.3316582914572864,,,,,
fold_raw,M+MB+MP+MR+MUV,3407,0.5025125628140703,0.3936876659489307,0.6231155778894473,0.3969849246231156,0.10050251256281408,5.0,797.0,199.0,6.66,0.32663316582914576,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.485,0.41629768131908335,0.655,0.39,0.125,1.0,796.0,200.0,6.59,0.325,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.5025125628140703,0.39605467400897965,0.6130653266331658,0.3969849246231156,0.10050251256281408,2.0,797.0,199.0,6.68,0.32663316582914576,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.4623115577889447,0.4095493266462339,0.6934673366834171,0.4321608040201005,0.10552763819095477,3.0,797.0,199.0,6.67,0.32663316582914576,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.48743718592964824,0.3858110906509801,0.6482412060301508,0.3969849246231156,0.11557788944723618,4.0,797.0,199.0,6.65,0.3316582914572864,,,,,
fold_raw,M+MB+MP+MR+MUV,2026,0.4723618090452261,0.41903965201576304,0.7135678391959799,0.37185929648241206,0.15577889447236182,5.0,797.0,199.0,6.65,0.32663316582914576,,,,,
seed_summary,M+MB+MP+MR+MUV,42,0.4839698492462311,0.41941778526861107,0.6535276381909548,0.39961306532663315,0.11641708542713566,,,,,,0.023452051880499078,0.04301256403319939,0.05203456805645064,0.026981763849211856,0.03193899049216719
seed_summary,M+MB+MP+MR+MUV,3407,0.49896984924623117,0.4190642428164627,0.6406130653266332,0.39357286432160804,0.10745728643216079,,,,,,0.03252196900120688,0.04002715831182875,0.04746060766644992,0.028520722383251314,0.017420074728901596
seed_summary,M+MB+MP+MR+MUV,2026,0.4819246231155779,0.405350484928208,0.6646683417085427,0.39759798994974876,0.12047738693467336,,,,,,0.015328317726025636,0.014080702268632053,0.039518165914379594,0.021883496106273482,0.02186976298839003
final,M+MB+MP+MR+MUV,all,0.48828810720268007,0.41461083767109397,0.6529363484087103,0.39692797319933,0.11478391959798995,,,,,,0.009307010653002521,0.008021648693278316,0.01203853388737406,0.0030753371977163585,0.006661919936699849
fold_raw,M+MB,42,0.42,0.3674520243939246,0.825,0.39,0.19,1.0,796.0,200.0,2.81,0.325,,,,,
fold_raw,M+MB,42,0.44221105527638194,0.39943043317765264,0.7336683417085427,0.4321608040201005,0.12562814070351758,2.0,797.0,199.0,2.84,0.32663316582914576,,,,,
fold_raw,M+MB,42,0.4623115577889447,0.40335482665171474,0.6934673366834171,0.41708542713567837,0.12060301507537688,3.0,797.0,199.0,2.83,0.32663316582914576,,,,,
fold_raw,M+MB,42,0.4120603015075377,0.37746753246753245,0.7788944723618091,0.4371859296482412,0.1507537688442211,4.0,797.0,199.0,2.83,0.3316582914572864,,,,,
fold_raw,M+MB,42,0.5226130653266332,0.4714249964249964,0.6331658291457286,0.35678391959798994,0.12060301507537688,5.0,797.0,199.0,2.84,0.32663316582914576,,,,,
fold_raw,M+MB,3407,0.47,0.3729666646812397,0.665,0.41,0.12,1.0,796.0,200.0,2.81,0.325,,,,,
fold_raw,M+MB,3407,0.46733668341708545,0.43074884393183643,0.7085427135678392,0.3969849246231156,0.135678391959799,2.0,797.0,199.0,2.84,0.32663316582914576,,,,,
