step,combination,modalities,input_channels,fold,training_seed,train_count,evaluation_count,train_class_0,train_class_1,evaluation_class_0,evaluation_class_1,parameter_count,accuracy,macro_f1,mae,sensitivity,specificity,class_0_precision,class_0_recall,class_0_f1,class_1_precision,class_1_recall,class_1_f1,confusion_matrix
step_03_N,MR+MB,MR+MB,6,2,42,796,200,306,490,77,123,23521538,0.735,0.7293087157486146,0.265,0.7154471544715447,0.7662337662337663,0.6276595744680851,0.7662337662337663,0.6900584795321637,0.8301886792452831,0.7154471544715447,0.7685589519650654,"[[59, 18], [35, 88]]"
step_03_N,MR+MB,MR+MB,6,3,42,797,199,306,491,77,122,23521538,0.7688442211055276,0.7392914103440419,0.23115577889447236,0.9016393442622951,0.5584415584415584,0.7818181818181819,0.5584415584415584,0.6515151515151515,0.7638888888888888,0.9016393442622951,0.8270676691729323,"[[43, 34], [12, 110]]"
step_03_N,MR+MB,MR+MB,6,4,42,798,198,307,491,76,122,23521538,0.7929292929292929,0.7727514486465303,0.20707070707070707,0.8852459016393442,0.6447368421052632,0.7777777777777778,0.6447368421052632,0.7050359712230216,0.8,0.8852459016393442,0.840466926070039,"[[49, 27], [14, 108]]"
step_03_N,MR+MB,MR+MB,6,5,42,799,197,308,491,75,122,23521538,0.6852791878172588,0.6809299895506793,0.3147208121827411,0.6475409836065574,0.7466666666666667,0.5656565656565656,0.7466666666666667,0.6436781609195402,0.8061224489795918,0.6475409836065574,0.7181818181818183,"[[56, 19], [43, 79]]"
step_03_N,MR+MB,MR+MB,6,1,3407,794,202,305,489,78,124,23521538,0.7574257425742574,0.7364398881640262,0.24257425742574257,0.8467741935483871,0.6153846153846154,0.7164179104477612,0.6153846153846154,0.6620689655172414,0.7777777777777778,0.8467741935483871,0.8108108108108109,"[[48, 30], [19, 105]]"
step_03_N,MR+MB,MR+MB,6,2,3407,796,200,306,490,77,123,23521538,0.74,0.7291666666666666,0.26,0.7642276422764228,0.7012987012987013,0.6506024096385542,0.7012987012987013,0.6749999999999999,0.8034188034188035,0.7642276422764228,0.7833333333333333,"[[54, 23], [29, 94]]"
step_03_N,MR+MB,MR+MB,6,3,3407,797,199,306,491,77,122,23521538,0.7386934673366834,0.718743205044575,0.2613065326633166,0.819672131147541,0.6103896103896104,0.6811594202898551,0.6103896103896104,0.6438356164383562,0.7692307692307693,0.819672131147541,0.7936507936507937,"[[47, 30], [22, 100]]"
step_03_N,MR+MB,MR+MB,6,4,3407,798,198,307,491,76,122,23521538,0.7929292929292929,0.7782149004179986,0.20707070707070707,0.8524590163934426,0.6973684210526315,0.7464788732394366,0.6973684210526315,0.7210884353741497,0.8188976377952756,0.8524590163934426,0.8353413654618473,"[[53, 23], [18, 104]]"
step_03_N,MR+MB,MR+MB,6,5,3407,799,197,308,491,75,122,23521538,0.7309644670050761,0.7154498133158913,0.26903553299492383,0.7786885245901639,0.6533333333333333,0.6447368421052632,0.6533333333333333,0.6490066225165563,0.7851239669421488,0.7786885245901639,0.7818930041152264,"[[49, 26], [27, 95]]"
step_03_N,MR+MB,MR+MB,6,1,2026,794,202,305,489,78,124,23521538,0.7029702970297029,0.62940313111546,0.297029702970297,0.9354838709677419,0.3333333333333333,0.7647058823529411,0.3333333333333333,0.4642857142857143,0.6904761904761905,0.9354838709677419,0.7945205479452055,"[[26, 52], [8, 116]]"
step_03_N,MR+MB,MR+MB,6,2,2026,796,200,306,490,77,123,23521538,0.74,0.7161262146522546,0.26,0.8373983739837398,0.5844155844155844,0.6923076923076923,0.5844155844155844,0.6338028169014084,0.762962962962963,0.8373983739837398,0.7984496124031008,"[[45, 32], [20, 103]]"
step_03_N,MR+MB,MR+MB,6,3,2026,797,199,306,491,77,122,23521538,0.7135678391959799,0.678167115902965,0.2864321608040201,0.8524590163934426,0.4935064935064935,0.6785714285714286,0.4935064935064935,0.5714285714285715,0.7272727272727273,0.8524590163934426,0.7849056603773585,"[[38, 39], [18, 104]]"
step_03_N,MR+MB,MR+MB,6,4,2026,798,198,307,491,76,122,23521538,0.7272727272727273,0.7144230769230768,0.2727272727272727,0.7622950819672131,0.6710526315789473,0.6375,0.6710526315789473,0.6538461538461537,0.788135593220339,0.7622950819672131,0.775,"[[51, 25], [29, 93]]"
step_03_N,MR+MB,MR+MB,6,5,2026,799,197,308,491,75,122,23521538,0.766497461928934,0.7467583277442432,0.233502538071066,0.8442622950819673,0.64,0.7164179104477612,0.64,0.676056338028169,0.7923076923076923,0.8442622950819673,0.8174603174603174,"[[48, 27], [19, 103]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,1,42,794,202,305,489,78,124,23549762,0.7673267326732673,0.7514854854330811,0.23267326732673269,0.8306451612903226,0.6666666666666666,0.7123287671232876,0.6666666666666666,0.6887417218543046,0.7984496124031008,0.8306451612903226,0.8142292490118577,"[[52, 26], [21, 103]]"
step_03_N,M+MB+MP+MR+MUV,M+MB+MP+MR+MUV,15,2,42,796,200,306,490,77,123,23549762,0.745,0.7257400984109058,0.255,0.8211382113821138,0.6233766233766234,0.6857142857142857,0.6233766233766234,0.6530612244897959,0.7769230769230769,0.8211382113821138,0.7984189723320158,"[[48, 29], [22, 101]]"
