record_type,channel,training_seed,accuracy,macro_f1,mae,auc,sensitivity,specificity,fold,train_n,eval_n,majority_acc,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,train_minutes,accuracy_std,macro_f1_std,mae_std,auc_std,sensitivity_std,specificity_std
fold_raw,MUV,42,0.6381909547738693,0.6381818181818182,0.36180904522613067,0.80198973042362,0.5121951219512195,0.8421052631578947,5.0,797.0,199.0,0.6180904522613065,0.5161290322580645,0.8421052631578947,0.64,0.84,0.5121951219512195,0.6363636363636364,2.33,,,,,,
fold_raw,MUV,3407,0.74,0.7037037037037037,0.26,0.7640692640692641,0.8861788617886179,0.5064935064935064,1.0,796.0,200.0,0.615,0.7358490566037735,0.5064935064935064,0.6,0.7414965986394558,0.8861788617886179,0.8074074074074075,2.31,,,,,,
fold_raw,MUV,3407,0.7386934673366834,0.7135105204872647,0.2613065326633166,0.7796998083883331,0.8442622950819673,0.5714285714285714,2.0,797.0,199.0,0.6130653266331658,0.6984126984126984,0.5714285714285714,0.6285714285714286,0.7573529411764706,0.8442622950819673,0.7984496124031008,2.32,,,,,,
fold_raw,MUV,3407,0.7487437185929648,0.7339002995293111,0.25125628140703515,0.7951884181392378,0.8032786885245902,0.6623376623376623,3.0,797.0,199.0,0.6130653266331658,0.68,0.6623376623376623,0.6710526315789473,0.7903225806451613,0.8032786885245902,0.7967479674796748,2.32,,,,,,
fold_raw,MUV,3407,0.7638190954773869,0.7259194139194138,0.23618090452261306,0.7625160462130938,0.9186991869918699,0.5131578947368421,4.0,797.0,199.0,0.6180904522613065,0.7959183673469388,0.5131578947368421,0.624,0.7533333333333333,0.9186991869918699,0.8278388278388278,2.33,,,,,,
fold_raw,MUV,3407,0.7638190954773869,0.7402016610649704,0.23618090452261306,0.7955177578091571,0.8617886178861789,0.6052631578947368,5.0,797.0,199.0,0.6180904522613065,0.7301587301587301,0.6052631578947368,0.6618705035971223,0.7794117647058824,0.8617886178861789,0.8185328185328186,2.34,,,,,,
fold_raw,MUV,2026,0.72,0.6809116809116809,0.28,0.7605321507760532,0.8699186991869918,0.4805194805194805,1.0,796.0,200.0,0.615,0.6981132075471698,0.4805194805194805,0.5692307692307692,0.7278911564625851,0.8699186991869918,0.7925925925925926,2.33,,,,,,
fold_raw,MUV,2026,0.7085427135678392,0.6844378827646544,0.2914572864321608,0.7834788162657015,0.8032786885245902,0.5584415584415584,2.0,797.0,199.0,0.6130653266331658,0.6417910447761194,0.5584415584415584,0.5972222222222222,0.7424242424242424,0.8032786885245902,0.7716535433070866,2.31,,,,,,
fold_raw,MUV,2026,0.7135678391959799,0.6908000545181954,0.2864321608040201,0.7823078560783479,0.8032786885245902,0.5714285714285714,3.0,797.0,199.0,0.6130653266331658,0.6470588235294118,0.5714285714285714,0.6068965517241379,0.7480916030534351,0.8032786885245902,0.7747035573122529,2.32,,,,,,
fold_raw,MUV,2026,0.7587939698492462,0.7418378378378379,0.24120603015075376,0.7979246897732135,0.8211382113821138,0.6578947368421053,4.0,797.0,199.0,0.6180904522613065,0.6944444444444444,0.6578947368421053,0.6756756756756757,0.7952755905511811,0.8211382113821138,0.808,2.33,,,,,,
fold_raw,MUV,2026,0.7939698492462312,0.7788709109141665,0.20603015075376885,0.8461703038083013,0.8536585365853658,0.6973684210526315,5.0,797.0,199.0,0.6180904522613065,0.7464788732394366,0.6973684210526315,0.7210884353741497,0.8203125,0.8536585365853658,0.8366533864541833,2.36,,,,,,
seed_summary,MUV,42,0.7078341708542712,0.6835676146498005,0.29216582914572864,0.7708735097895223,0.7766893242702919,0.5984620642515379,,,,,,,,,,,,0.0407002309610501,0.03254436554000875,0.040700230961050105,0.036190709371461495,0.1494034856674178,0.14820524019154807
seed_summary,MUV,3407,0.7510150753768844,0.7234471197409327,0.24898492462311558,0.7793982589238171,0.862841530054645,0.5717361585782638,,,,,,,,,,,,0.012310552722794308,0.01487140160441433,0.012310552722794322,0.01604092807246033,0.04347050027983665,0.06523190059743325
